# step	energy	gradnorm	avg_density	site_densities
1	0.1862	3.3459	0.5377	(1, 1)=>0.488, (2, 1)=>0.511, (1, 2)=>0.567, (2, 2)=>0.585
2	-0.3568	1.5936	0.4246	(1, 1)=>0.357, (2, 1)=>0.393, (1, 2)=>0.467, (2, 2)=>0.481
3	-0.5808	0.9128	0.3014	(1, 1)=>0.226, (2, 1)=>0.268, (1, 2)=>0.363, (2, 2)=>0.349
4	-0.6751	1.7847	0.2559	(1, 1)=>0.156, (2, 1)=>0.233, (1, 2)=>0.36, (2, 2)=>0.274
5	-0.8623	3.0847	0.2488	(1, 1)=>0.107, (2, 1)=>0.251, (1, 2)=>0.444, (2, 2)=>0.193
6	-1.0796	3.0524	0.2985	(1, 1)=>0.117, (2, 1)=>0.34, (1, 2)=>0.564, (2, 2)=>0.172
7	-1.3599	3.0732	0.3539	(1, 1)=>0.114, (2, 1)=>0.525, (1, 2)=>0.635, (2, 2)=>0.142
8	-1.7223	4.4297	0.4489	(1, 1)=>0.093, (2, 1)=>0.787, (1, 2)=>0.813, (2, 2)=>0.103
9	-1.8894	4.2995	0.4867	(1, 1)=>0.074, (2, 1)=>0.89, (1, 2)=>0.899, (2, 2)=>0.082
10	-2.0317	4.9391	0.5089	(1, 1)=>0.048, (2, 1)=>0.97, (1, 2)=>0.971, (2, 2)=>0.047
